Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
Sharey Chuattar,1953,"Comedy, Romance",N/A,tt0046304,Bijon Bhattacharya,Nirmal Dey,"Deben Bandopadhyay, Bhanu Bannerjee, Gurudas Bannerjee",The owner of Annapurna boarding house faces trouble for letting a girl stay at the boys hostel.,India,8.2,98 min
The Red Balloon,1956,"Short, Comedy, Drama",Not Rated,tt0048980,Albert Lamorisse,Albert Lamorisse,"Pascal Lamorisse, Sabine Lamorisse, Georges Sellier",A red balloon with a mind of its own follows a little boy around the streets of Paris.,France,8.1,34 min
Moby Dick,1956,"Adventure, Drama",Not Rated,tt0049513,Ray Bradbury,John Huston,"Gregory Peck, Richard Basehart, Leo Genn","The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.",United Kingdom,7.3,116 min
12 Angry Men,1957,"Crime, Drama",Approved,tt0050083,Reginald Rose,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,United States,9,96 min
The Guns of Navarone,1961,"Action, Adventure, Drama",Not Rated,tt0054953,Alistair MacLean,J. Lee Thompson,"David Niven, Gregory Peck, Anthony Quinn","A team of Allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","United Kingdom, United States",7.5,158 min
Dr. No,1962,"Action, Adventure, Thriller",PG,tt0055928,Richard Maibaum,Terence Young,"Sean Connery, Ursula Andress, Bernard Lee",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,"United Kingdom, United States",7.2,110 min
From Russia with Love,1963,"Action, Adventure, Thriller",PG,tt0057076,Richard Maibaum,Terence Young,"Sean Connery, Robert Shaw, Lotte Lenya",James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,"United Kingdom, United States",7.3,115 min
Goldfinger,1964,"Action, Adventure, Thriller",PG,tt0058150,Richard Maibaum,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.","United Kingdom, United States",7.7,110 min
The Sound of Music,1965,"Biography, Drama, Family",G,tt0059742,Georg Hurdalek,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,United States,8.1,172 min
Thunderball,1965,"Action, Adventure, Thriller",PG,tt0059800,Richard Maibaum,Terence Young,"Sean Connery, Claudine Auger, Adolfo Celi",James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,"United Kingdom, United States",6.9,130 min
